Date : 2024-11-18 00:46:08
Directory : c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate
Total : 87 files,  25744 codes, 974 comments, 8986 blanks, all 35704 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                 | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-39-47\details.md                                           | Markdown        |         86 |          0 |          6 |         92 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-39-47\diff-details.md                                      | Markdown        |          9 |          0 |          6 |         15 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-39-47\diff.md                                              | Markdown        |         12 |          0 |          7 |         19 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-39-47\results.json                                         | JSON            |          1 |          0 |          0 |          1 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-39-47\results.md                                           | Markdown        |         55 |          0 |          7 |         62 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-45-15\details.md                                           | Markdown        |         91 |          0 |          6 |         97 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-45-15\diff-details.md                                      | Markdown        |         15 |          0 |          6 |         21 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-45-15\diff.md                                              | Markdown        |         26 |          0 |          7 |         33 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-45-15\results.json                                         | JSON            |          1 |          0 |          0 |          1 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.VSCodeCounter\2024-11-18_00-45-15\results.md                                           | Markdown        |         58 |          0 |          7 |         65 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\compiler.xml                                                                      | XML             |          6 |          0 |          0 |          6 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\deploymentTargetSelector.xml                                                      | XML             |         10 |          0 |          0 |         10 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\gradle.xml                                                                        | XML             |         20 |          0 |          0 |         20 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\migrations.xml                                                                    | XML             |         10 |          0 |          0 |         10 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\misc.xml                                                                          | XML             |         10 |          0 |          0 |         10 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\render.experimental.xml                                                           | XML             |          6 |          0 |          0 |          6 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\runConfigurations.xml                                                             | XML             |         17 |          0 |          0 |         17 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\.idea\vcs.xml                                                                           | XML             |          6 |          0 |          0 |          6 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\google-services.json                                                                | JSON            |         30 |          0 |          0 |         30 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\androidTest\java\com\example\praveen_investate\ExampleInstrumentedTest.java     | Java            |         15 |          6 |          5 |         26 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\AndroidManifest.xml                                                        | XML             |         46 |          0 |          6 |         52 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\MainActivity.java                       | Java            |         61 |          3 |         14 |         78 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\adapter\NotificationAdapter.java        | Java            |         67 |          1 |         14 |         82 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\adapter\PostAdapter.java                | Java            |        178 |          7 |         30 |        215 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\adapter\PostAdapterForBrokers.java      | Java            |        216 |         25 |         32 |        273 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\adapter\PostAdapterForPropertyWise.java | Java            |        155 |          6 |         22 |        183 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\adapter\PropertyTypeAdapter.java        | Java            |         50 |          1 |         15 |         66 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\database\DatabaseHelper.java            | Java            |         80 |          4 |         18 |        102 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\encryption_decryption\PsychoCipher.java | Java            |         67 |         26 |         25 |        118 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\model\Notification.java                 | Java            |         20 |          0 |          6 |         26 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\model\Post.java                         | Java            |        158 |          1 |         48 |        207 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\model\Profile.java                      | Java            |         48 |          4 |         10 |         62 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\model\PropertyType.java                 | Java            |         28 |          0 |         10 |         38 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\CategoryActivity.java                | Java            |        106 |         13 |         18 |        137 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\EditPostActivity.java                | Java            |        170 |         11 |         28 |        209 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\HomeActivity.java                    | Java            |     20,084 |        663 |      8,036 |     28,783 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\LoginActivity.java                   | Java            |        322 |         14 |         45 |        381 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\MyPostsActivity.java                 | Java            |        148 |          6 |         22 |        176 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\NotificationActivity.java            | Java            |         93 |          2 |         14 |        109 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\ProfileActivity.java                 | Java            |        337 |         18 |         58 |        413 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\PropertyListActivity.java            | Java            |        298 |         16 |         34 |        348 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\ResetPasswordActivity.java           | Java            |         57 |          1 |         11 |         69 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\SettingsActivity.java                | Java            |         66 |          1 |         13 |         80 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\SignupActivity.java                  | Java            |        221 |         11 |         21 |        253 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\ToastMaker.java                      | Java            |          8 |          0 |          3 |         11 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\UploadActivity.java                  | Java            |        292 |         33 |         48 |        373 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\utils\ProfileManager.java               | Java            |         52 |          0 |         17 |         69 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\cloud_background.xml                                          | XML             |          5 |          0 |          3 |          8 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\glass_background.xml                                          | XML             |         14 |          0 |          3 |         17 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\ic_launcher_background.xml                                    | XML             |        170 |          0 |          1 |        171 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\ic_launcher_foreground.xml                                    | XML             |         30 |          0 |          0 |         30 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\message_bubble_sent.xml                                       | XML             |         10 |          0 |          2 |         12 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\profilepicrad.xml                                             | XML             |         14 |          0 |          3 |         17 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\rounded_corners.xml                                           | XML             |          8 |          0 |          2 |         10 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_category.xml                                           | XML             |         30 |          0 |         11 |         41 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_edit_post.xml                                          | XML             |         88 |          0 |         16 |        104 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_home.xml                                               | XML             |        133 |          0 |         37 |        170 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_login.xml                                              | XML             |        117 |          0 |         17 |        134 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_main.xml                                               | XML             |         17 |          0 |          2 |         19 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_my_posts.xml                                           | XML             |         28 |          0 |          5 |         33 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_notifications.xml                                      | XML             |         19 |          9 |          2 |         30 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_profile.xml                                            | XML             |        174 |          8 |         13 |        195 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_property_list.xml                                      | XML             |         48 |          0 |         10 |         58 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_reset_password.xml                                     | XML             |         35 |          0 |          5 |         40 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_settings.xml                                           | XML             |         28 |          0 |          5 |         33 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_signup.xml                                             | XML             |         95 |          0 |         10 |        105 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_upload.xml                                             | XML             |        105 |          0 |         20 |        125 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\dialog_layout.xml                                               | XML             |         31 |          0 |          8 |         39 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\dialog_select_state_district.xml                                | XML             |         32 |          1 |          5 |         38 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_post.xml                                                   | XML             |        139 |          0 |         28 |        167 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_post_for_broker.xml                                        | XML             |         79 |          0 |         30 |        109 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_post_for_property_wise.xml                                 | XML             |        138 |          0 |         26 |        164 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_property_type.xml                                          | XML             |         35 |          0 |          8 |         43 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\notification_item.xml                                           | XML             |         25 |          0 |          6 |         31 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                                      | XML             |          6 |          0 |          0 |          6 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                                | XML             |          6 |          0 |          0 |          6 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values-night\themes.xml                                                | XML             |          4 |          3 |          0 |          7 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values\colors.xml                                                      | XML             |          5 |          0 |          0 |          5 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values\strings.xml                                                     | XML             |         89 |          0 |          5 |         94 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values\themes.xml                                                      | XML             |          5 |          3 |          1 |          9 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\xml\backup_rules.xml                                                   | XML             |          3 |         10 |          0 |         13 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\xml\data_extraction_rules.xml                                          | XML             |          5 |         14 |          0 |         19 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\xml\network_security_config.xml                                        | XML             |          6 |          0 |          1 |          7 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\test\java\com\example\praveen_investate\ExampleUnitTest.java                    | Java            |          9 |          5 |          3 |         17 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\gradle.properties                                                                       | Java Properties |          3 |         18 |          0 |         21 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\gradle\wrapper\gradle-wrapper.properties                                                | Java Properties |          5 |          1 |          1 |          7 |
| c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\gradlew.bat                                                                             | Batch           |         39 |         29 |         22 |         90 |
| Total                                                                                                                                                    |                 |     25,744 |        974 |      8,986 |     35,704 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
